batch_idx,sample_idx,displacement,true_force,predicted_force,force_error,force_relative_error,mse_ux,mse_uy,mse_total,mae_ux,mae_uy,mae_total,relative_error
15,0,0.0,0.00011604683,0.046186987,0.04607094,396.9688,0.003389218356460333,0.08785014599561691,0.04561968217603862,0.04572141543030739,0.2507486343383789,0.14823502488434315,25879364.0
70,1,0.0,0.0,0.03222698,0.03222698,3222698.0,0.00582122802734375,0.0727541372179985,0.03928768262267113,0.06068149954080582,0.22339513897895813,0.14203831925988197,23821740.0
101,13,0.0,-5.472367e-05,0.042705607,0.04276033,781.2436,0.009166829288005829,0.10984572768211365,0.05950627848505974,0.07750566303730011,0.2919991910457611,0.1847524270415306,31525846.0
206,11,0.0,0.00019788907,0.012421723,0.012223834,61.768024,0.00879700668156147,0.0873616561293602,0.048079331405460835,0.07732286304235458,0.2566981017589569,0.16701048240065575,28228728.0
66,10,0.0,5.1511874e-05,0.013334017,0.013282506,257.80322,0.0037661073729395866,0.1194818913936615,0.06162399938330054,0.04629361256957054,0.3081153929233551,0.17720450274646282,31914102.0
83,3,0.0,-1.9669706e-05,0.0139195565,0.013939226,708.30457,0.004063356667757034,0.11225834488868713,0.058160850778222084,0.04991152882575989,0.2954500913619995,0.1726808100938797,30828374.0
62,10,0.0,0.0009662986,0.04738765,0.04642135,48.03988,0.0038883364759385586,0.10279273986816406,0.05334053817205131,0.05066443607211113,0.27919477224349976,0.16492960415780544,28988976.0
155,2,0.0,3.299418e-05,0.027070234,0.027037239,819.2065,0.008597944863140583,0.11118729412555695,0.059892619494348764,0.07585843652486801,0.29388734698295593,0.18487289175391197,31733828.0
7,4,0.0,0.0,0.04938616,0.04938616,4938616.0,0.00481417216360569,0.07945992797613144,0.042137050069868565,0.05442347377538681,0.23314601182937622,0.14378474280238152,24507600.0
15,6,0.0,-7.163492e-05,0.029948747,0.030020382,419.01624,0.010935299098491669,0.07346612215042114,0.042200710624456406,0.08828462660312653,0.2224343717098236,0.15535949915647507,25114098.0
51,15,0.0,0.00018431756,0.06568338,0.06549906,355.34058,0.0035997536033391953,0.09881613403558731,0.05120794381946325,0.04939654469490051,0.2741253077983856,0.16176092624664307,28344260.0
72,8,0.0,-1.8925439e-05,0.05699539,0.057014316,3010.9846,0.008783902041614056,0.08578885346651077,0.047286377754062414,0.0792069137096405,0.2523346543312073,0.1657707840204239,27572742.0
157,13,0.0,0.00010533384,0.060626626,0.060521293,574.51196,0.009271088056266308,0.09478701651096344,0.052029052283614874,0.07845739275217056,0.26984497904777527,0.17415118589997292,29612628.0
160,0,0.0,0.0003674954,0.0480442,0.047676705,129.73062,0.011412136256694794,0.10614963620901108,0.058780886232852936,0.0845600813627243,0.28384122252464294,0.18420065194368362,31587620.0
168,2,0.0,-0.00023698958,0.062033366,0.062270354,262.74457,0.009124080650508404,0.08608385920524597,0.04760396992787719,0.07916224002838135,0.2536795139312744,0.16642087697982788,27927802.0
96,10,0.0,0.00038674613,0.04497865,0.044591904,115.29721,0.00742478808388114,0.10478139668703079,0.056103092385455966,0.0678301528096199,0.2836531698703766,0.17574166133999825,30539128.0
185,3,0.0,0.00023256188,0.057336673,0.05710411,245.53317,0.003457478014752269,0.08620651066303253,0.0448319943388924,0.0487087108194828,0.24921977519989014,0.14896424300968647,26004226.0
25,13,0.0,8.041587e-05,0.041385166,0.041304752,513.57544,0.012158901430666447,0.09365062415599823,0.05290476279333234,0.08806629478931427,0.2673959732055664,0.17773113399744034,30036632.0
87,5,0.0,-9.411496e-05,0.05049848,0.050592598,537.5046,0.0117205074056983,0.08279810100793839,0.04725930420681834,0.08976989984512329,0.23937252163887024,0.16457121074199677,26867994.0
188,0,0.0,-6.9855523e-06,0.04548876,0.045495745,6503.5244,0.003903069067746401,0.10041777789592743,0.052160423481836915,0.04770068824291229,0.27221405506134033,0.1599573716521263,28179430.0
193,11,0.0,5.0203995e-05,0.07250057,0.07245037,1442.8322,0.0056390659883618355,0.07408361881971359,0.039861342404037714,0.05969807505607605,0.2257290929555893,0.14271358400583267,24160310.0
119,14,0.0,4.2852735e-05,0.04450448,0.044461627,1037.3026,0.011923324316740036,0.08281277865171432,0.04736805148422718,0.09012317657470703,0.24101212620735168,0.16556765139102936,27296562.0
209,11,0.0,0.0003945335,0.03946848,0.039073944,99.03583,0.007016183342784643,0.11048266291618347,0.05874942312948406,0.06785902380943298,0.2945800721645355,0.18121954798698425,31538850.0
181,3,0.023100002,0.025351347,0.041442044,0.016090697,0.6347075,0.005928691476583481,0.09422342479228973,0.05007605813443661,0.05920011177659035,0.27232104539871216,0.16576057858765125,0.506015
56,2,0.023379998,0.03040294,0.058746174,0.028343234,0.93225276,0.006139042321592569,0.01570124737918377,0.01092014485038817,0.04787231981754303,0.10576575249433517,0.0768190361559391,0.6546339
40,8,0.024000002,0.0134340655,0.0101775285,0.003256537,0.24240871,0.002250228775665164,0.009478443302214146,0.005864336038939655,0.03665395826101303,0.08783166110515594,0.06224280968308449,0.69785607
32,13,0.024000002,0.025937356,0.04933878,0.023401424,0.9022283,0.002565392991527915,0.005969734396785498,0.004267563694156706,0.03950253501534462,0.06116408109664917,0.050333308055996895,0.25684336
166,7,0.024100002,0.01661593,0.045353316,0.028737387,1.7295073,0.008008594624698162,0.013677315786480904,0.010842955205589533,0.06986662745475769,0.09085964411497116,0.08036313578486443,0.27041414
106,14,0.024200002,0.01960903,0.036754645,0.017145615,0.874373,0.015430513769388199,0.053596798330545425,0.03451365604996681,0.10725967586040497,0.18928655982017517,0.14827311784029007,0.4757583
199,5,0.024200002,0.01797108,0.036621436,0.018650357,1.0377978,0.00712608452886343,0.023334017023444176,0.015230050776153803,0.07019864022731781,0.1332073211669922,0.101702980697155,1.6257534
126,3,0.024200002,0.02683772,0.048436426,0.021598706,0.8047889,0.014920076355338097,0.09686623513698578,0.05589315574616194,0.09943865984678268,0.2710239291191101,0.1852312944829464,0.48475966
147,0,0.024299998,0.010044815,0.017017577,0.006972762,0.6941646,0.003448700997978449,0.020571663975715637,0.012010182486847043,0.04385191947221756,0.12459825724363327,0.08422508835792542,0.30348337
185,15,0.024399998,0.021130849,0.04246188,0.02133103,1.009473,0.01593584381043911,0.08011005073785782,0.048022947274148464,0.10650233924388885,0.2475956678390503,0.17704900354146957,0.5098623
97,3,0.024399998,0.022410708,0.033671096,0.011260388,0.50245553,0.003883892437443137,0.013786150142550468,0.008835021289996803,0.04881152883172035,0.09297419339418411,0.07089286111295223,0.6998571
106,6,0.0245,0.013959577,0.037761472,0.023801895,1.7050571,0.009971476159989834,0.05867931619286537,0.0343253961764276,0.07821986824274063,0.2135544866323471,0.14588717743754387,0.45032525
98,12,0.024574999,0.024818802,0.052062362,0.02724356,1.097698,0.00818040780723095,0.07134770601987839,0.03976405691355467,0.07086966186761856,0.23258216679096222,0.1517259143292904,0.4157653
29,1,0.0247,0.03220206,0.06465786,0.0324558,1.0078791,0.007977099157869816,0.04136597365140915,0.024671536404639482,0.0690150335431099,0.17235499620437622,0.12068501487374306,0.40618876
201,15,0.024765,0.02289346,0.041592445,0.018698985,0.8167825,0.014641506597399712,0.024700690060853958,0.019671098329126835,0.09860945492982864,0.13355323672294617,0.1160813458263874,0.40349486
171,9,0.0248,0.033172123,0.07679416,0.04362204,1.3150206,0.01735159009695053,0.06870730221271515,0.04302944615483284,0.09981167316436768,0.2264462560415268,0.16312896460294724,0.47228727
111,1,0.02484,0.023576694,0.053197276,0.029620582,1.2563497,0.006916861981153488,0.02283868007361889,0.014877771027386189,0.06670153886079788,0.11521392315626144,0.09095773100852966,0.3853179
143,10,0.02495,0.028502582,0.066370204,0.03786762,1.3285676,0.0020145701710134745,0.07773352414369583,0.03987404715735465,0.03207065537571907,0.24595023691654205,0.13901044614613056,0.49360564
126,0,0.06599999,0.023987208,0.02442075,0.00043354183,0.01807387,0.0007434785948134959,0.0033925205934792757,0.002067999594146386,0.019672425463795662,0.04495123401284218,0.03231182973831892,0.14597319
14,7,0.06599999,0.03301372,0.05615408,0.02314036,0.7009314,0.0006027264753356576,0.0014697302831336856,0.0010362283792346716,0.01824093796312809,0.029585104435682297,0.023913021199405193,0.15864545
9,14,0.06601,0.023790782,0.038407363,0.014616581,0.61437976,0.0013830334646627307,0.00177090335637331,0.0015769684105180204,0.026754921302199364,0.033336590975522995,0.03004575613886118,0.31947756
156,0,0.0661,0.033774026,0.05330623,0.019532204,0.5783201,0.0016347413184121251,0.022249897941946983,0.011942319630179554,0.030698226764798164,0.13622409105300903,0.0834611589089036,0.36833572
59,5,0.066105,0.02990191,0.056723963,0.026822053,0.897001,0.0019112701993435621,0.0123022785410285,0.007106774370186031,0.03519114479422569,0.09693083167076111,0.0660609882324934,0.3483087
208,15,0.066205,0.033111796,0.058937743,0.025825948,0.7799619,0.002203832846134901,0.00881173275411129,0.0055077828001230955,0.03587647154927254,0.08079096674919128,0.05833371914923191,0.21490179
119,11,0.06621,0.038929313,0.06751098,0.028581664,0.7341937,0.0032630732748657465,0.006020855624228716,0.004641964449547231,0.04410777613520622,0.06027956306934357,0.052193669602274895,0.23262048
86,15,0.066309996,0.02360055,0.05236538,0.02876483,1.2188199,0.0033110561780631542,0.003393260296434164,0.003352158237248659,0.04296407848596573,0.047336917370557785,0.04515049792826176,0.19142161
149,8,0.06651,0.023629744,0.03380638,0.010176636,0.43067044,0.0008242513285949826,0.013867070898413658,0.00734566111350432,0.02109302021563053,0.10629794001579285,0.06369548011571169,0.26739964
178,11,0.067,0.023825755,0.0369693,0.013143545,0.5516526,0.0026327550876885653,0.0031042518094182014,0.0028685034485533834,0.04251799359917641,0.04368079453706741,0.04309939406812191,0.20861802
